Year,SERIES,COMMENT_OBS,SOURCE_DETAIL,Value
2016,_L_KE_170101_01,,,16.2
2017,_L_KE_170101_01,,,15.9
2018,_L_KE_170101_01,,,15.1
2019,_L_KE_170101_01,,,15.1
2020,_L_KE_170101_01,,,14.3
2021,_L_KE_170101_01,,,13.6
2022,_L_KE_170101_01,,,14.6
2023,_L_KE_170101_01,,,13.6
2016,_L_KE_170101_02,,,0.0
2017,_L_KE_170101_02,,,0.0
2018,_L_KE_170101_02,,,0.0
2019,_L_KE_170101_02,,,0.0
2020,_L_KE_170101_02,,,0.0
2021,_L_KE_170101_02,,,0.0
2022,_L_KE_170101_02,,,0.0
2023,_L_KE_170101_02,,,0.0
2016,_L_KE_170101_03,,,0.4
2017,_L_KE_170101_03,,,0.3
2018,_L_KE_170101_03,,,0.3
2019,_L_KE_170101_03,,,0.5
2020,_L_KE_170101_03,,,0.2
2021,_L_KE_170101_03,,,0.3
2022,_L_KE_170101_03,,,0.2
2023,_L_KE_170101_03,,,0.2
2016,_L_KE_170101_04,,,0.2
2017,_L_KE_170101_04,,,1.1
2018,_L_KE_170101_04,,,1.2
2019,_L_KE_170101_04,,,1.6
2020,_L_KE_170101_04,,,2.5
2021,_L_KE_170101_04,,,1.4
2022,_L_KE_170101_04,,,1.7
2023,_L_KE_170101_04,,,1.6
2014,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,16.7
2015,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,16.6
2016,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,16.9
2017,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,17.3
2018,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,16.6
2019,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,17.1
2020,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,17.0
2021,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,15.3
2022,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,16.5
2023,GR_G14_GDP,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,15.4
