Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,_L_KE_100b01_01,,PT,A,0,2024,,6.4
2015,_L_KE_100b01_01,,PT,A,0,2024,,6.0
2016,_L_KE_100b01_01,,PT,A,0,2024,,8.5
2017,_L_KE_100b01_01,,PT,A,0,2024,,8.3
2018,_L_KE_100b01_01,,PT,A,0,2024,,8.2
2019,_L_KE_100b01_01,,PT,A,0,2024,,8.4
2020,_L_KE_100b01_01,,PT,A,0,2024,,8.4
2021,_L_KE_100b01_01,,PT,A,0,2024,,9.1
2022,_L_KE_100b01_01,,PT,A,0,2024,,8.0
2023,_L_KE_100b01_01,,PT,A,0,2024,,8.3
2024,_L_KE_100b01_01,,PT,A,0,2024,,10.6
2014,DC_TRF_TFDV,,KES,A,6,2024,,26957.1
2015,DC_TRF_TFDV,,KES,A,6,2024,,28117.5
2016,DC_TRF_TFDV,,KES,A,6,2024,,29596.7
2017,DC_TRF_TFDV,,KES,A,6,2024,,25904.0
2018,DC_TRF_TFDV,,KES,A,6,2024,,27600.1
2019,DC_TRF_TFDV,,KES,A,6,2024,,19701.8
2020,DC_TRF_TFDV,,KES,A,6,2024,,19819.7
2021,DC_TRF_TFDV,,KES,A,6,2024,,31320.4
2022,DC_TRF_TFDV,,KES,A,6,2024,,31031.2
2023,DC_TRF_TFDV,,KES,A,6,2024,,23083.5
2024,DC_TRF_TFDV,,KES,A,6,2024,,22037.2
