Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2020,VC_HTF_DETVR,,,,PER_1000_POP,A,0,2024,,0.268346
2021,VC_HTF_DETVR,,,,PER_1000_POP,A,0,2024,,0.897019
2022,VC_HTF_DETVR,,,,PER_1000_POP,A,0,2024,,0.971892
2023,VC_HTF_DETVR,,,,PER_1000_POP,A,0,2024,,0.774372
2024,VC_HTF_DETVR,,,,PER_1000_POP,A,0,2024,,1.22453
2020,VC_HTF_DETVR,,,Y_GE18,PER_1000_POP,A,0,2024,,0.308787
2021,VC_HTF_DETVR,,,Y_GE18,PER_1000_POP,A,0,2024,,1.400757
2022,VC_HTF_DETVR,,,Y_GE18,PER_1000_POP,A,0,2024,,1.241026
2023,VC_HTF_DETVR,,,Y_GE18,PER_1000_POP,A,0,2024,,1.147279
2024,VC_HTF_DETVR,,,Y_GE18,PER_1000_POP,A,0,2024,,2.021114
2020,VC_HTF_DETVR,,,Y0T17,PER_1000_POP,A,0,2024,,0.217448
2021,VC_HTF_DETVR,,,Y0T17,PER_1000_POP,A,0,2024,,0.248443
2022,VC_HTF_DETVR,,,Y0T17,PER_1000_POP,A,0,2024,,0.617668
2023,VC_HTF_DETVR,,,Y0T17,PER_1000_POP,A,0,2024,,0.273007
2024,VC_HTF_DETVR,,,Y0T17,PER_1000_POP,A,0,2024,,0.131231
2020,VC_HTF_DETVR,,F,,PER_1000_POP,A,0,2024,,0.223544
2021,VC_HTF_DETVR,,F,,PER_1000_POP,A,0,2024,,0.199512
2022,VC_HTF_DETVR,,F,,PER_1000_POP,A,0,2024,,0.258633
2023,VC_HTF_DETVR,,F,,PER_1000_POP,A,0,2024,,0.307973
2024,VC_HTF_DETVR,,F,,PER_1000_POP,A,0,2024,,0.026481
2020,VC_HTF_DETVR,,M,,PER_1000_POP,A,0,2024,,0.313869
2021,VC_HTF_DETVR,,M,,PER_1000_POP,A,0,2024,,1.605903
2022,VC_HTF_DETVR,,M,,PER_1000_POP,A,0,2024,,1.69693
2023,VC_HTF_DETVR,,M,,PER_1000_POP,A,0,2024,,1.248567
2024,VC_HTF_DETVR,,M,,PER_1000_POP,A,0,2024,,2.442832
