Year,Value,SERIES
2014,15.6,SD_XPD_ESED
2015,15.3,SD_XPD_ESED
2016,14.3,SD_XPD_ESED
2017,16.0,SD_XPD_ESED
2018,14.5,SD_XPD_ESED
2019,15.5,SD_XPD_ESED
2020,17.9,SD_XPD_ESED
2021,16.3,SD_XPD_ESED
2022,15.9,SD_XPD_ESED
2023,18.4,SD_XPD_ESED
2014,2.5,SG_XPD_HLTH
2015,1.7,SG_XPD_HLTH
2016,2.5,SG_XPD_HLTH
2017,2.4,SG_XPD_HLTH
2018,3.2,SG_XPD_HLTH
2019,3.5,SG_XPD_HLTH
2020,4.0,SG_XPD_HLTH
2021,3.3,SG_XPD_HLTH
2022,2.9,SG_XPD_HLTH
2023,2.8,SG_XPD_HLTH
2014,2.9,SG_XPD_PROT
2015,3.7,SG_XPD_PROT
2016,3.7,SG_XPD_PROT
2017,3.8,SG_XPD_PROT
2018,4.5,SG_XPD_PROT
2019,4.9,SG_XPD_PROT
2020,5.6,SG_XPD_PROT
2021,5.8,SG_XPD_PROT
2022,5.8,SG_XPD_PROT
2023,5.5,SG_XPD_PROT
