Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2015,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,6.0
2016,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,8.6
2017,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,9.9
2018,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,12.0
2019,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,12.0
2020,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,14.1
2021,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,13.1
2022,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,11.1
2023,Normal value,Units,CBK,Non-performing loans to total gross loans (%) [10.5.1],,Percent,2023,,12.3
2015,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,4.0
2016,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,3.8
2017,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,3.2
2018,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,3.4
2019,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,3.3
2020,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,2.1
2021,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,3.3
2022,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,3.7
2023,Normal value,Units,CBK,Return on assets (%) [10.5.1],,Percent,2023,,2.9
2015,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,12.4
2016,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,12.8
2017,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,11.5
2018,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,13.2
2019,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,12.8
2020,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,12.3
2021,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,12.1
2022,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,12.0
2023,Normal value,Units,CBK,Regulatory capital to assets (%) [10.5.1],,Percent,2023,,10.4
2015,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,12.4
2016,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,17.8
2017,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,27.1
2018,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,21.2
2019,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,21.3
2020,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,21.6
2021,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,18.4
2022,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,23.9
2023,Normal value,Units,CBK,Non-performing loans net of provisions to capital (%) [10.5.1],,Percent,2023,,25.7
2015,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,18.2
2016,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,16.9
2017,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,14.7
2018,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,17.2
2019,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,16.8
2020,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,16.7
2021,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,16.7
2022,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,19.0
2023,Normal value,Units,CBK,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],,Percent,2023,,18.3
2015,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,2.7
2016,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,6.7
2017,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,2.4
2018,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,3.2
2019,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,-0.3
2020,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,-0.0
2021,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,-1.0
2022,Normal value,Units,CBK,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,2022,,-1.6
